X,Y,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID
128.600485013413,35.8899649935879,"1540013400","101",대구체육관삼거리,"0",,dgsi,"5","27000","154",,
128.602861012886,35.8925679941145,"1540014400","101","-","0",,dgsi,"5","27000","154",,
128.605247013656,35.8949899939759,"1540016000","101",산격초등학교,"1",,dgsi,"5","27000","154",,
128.605210014032,35.8925939943573,"1540014500","101","-","0",,dgsi,"5","27000","154",,
128.605215012509,35.8904389934345,"1540013700","101","-","1",,dgsi,"5","27000","154",,
128.601956012912,35.8879459938813,"1540011900","101","-","1",,dgsi,"5","27000","154",,
128.602416013767,35.8863309941218,"1540011500","101","-","1",,dgsi,"5","27000","154",,
128.611953013034,35.8818739938155,"1510012000","101","-","1",,dgsi,"5","27000","151",,
128.614094013534,35.8811559935999,"1510011900","101",공고네거리,"1",,dgsi,"5","27000","151",,
128.618898013203,35.8821179942862,"1510012100","101","-","1",,dgsi,"5","27000","151",,
128.623983012638,35.8833729935394,"1510012200","101",파티마삼거리,"1",,dgsi,"5","27000","151",,
128.626910013561,35.8850479930033,"1510012400","101","-","1",,dgsi,"5","27000","151",,
128.616188013756,35.8939219942574,"1540015400","101","-","0",,dgsi,"5","27000","154",,
128.613289013381,35.914594994061,"1540022300","101","-","0",,dgsi,"5","27000","154",,
128.619597013334,35.915752993954,"1540022700","101","-","0",,dgsi,"5","27000","154",,
128.623420012792,35.9164329935974,"1540022900","101","-","0",,dgsi,"5","27000","154",,
128.630051013389,35.9164669935902,"1540023000","103","-","0",,dgsi,"5","27000","154",,
128.626651013936,35.9117579930135,"1540022000","101","-","0",,dgsi,"5","27000","154",,
128.62384701277,35.9096639942953,"1540021600","101","-","0",,dgsi,"5","27000","154",,
128.619019013815,35.9061309941888,"1540020200","101",검단네거리,"1",,dgsi,"5","27000","154",,
128.616752013399,35.9036999934059,"1540019100","101","-","0",,dgsi,"5","27000","154",,
128.615457012645,35.9073559940061,"1540020800","101","-","0",,dgsi,"5","27000","154",,
128.611748013209,35.9051589938425,"1540019600","101","-","1",,dgsi,"5","27000","154",,
128.617524012443,35.9082949940605,"1540021200","101","-","1",,dgsi,"5","27000","154",,
128.616181013395,35.9102219936598,"1540021700","101","-","1",,dgsi,"5","27000","154",,
128.61017301339,35.907434994021,"1540020900","101","-","1",,dgsi,"5","27000","154",,
128.614658013443,35.9125509941665,"1540022100","101","-","1",,dgsi,"5","27000","154",,
128.608278013386,35.9096389935988,"1540021500","101","-","1",,dgsi,"5","27000","154",,
128.60318001393,35.9042149941457,"1540019400","101","-","1",,dgsi,"5","27000","154",,
128.629595014012,35.8667659939425,"1510005900","101","-","1",,dgsi,"5","27000","151",,
128.620275012673,35.8785619940807,"1510011200","101","-","0",,dgsi,"5","27000","151",,
128.62690101308,35.8803039939953,"1510011600","101","-","0",,dgsi,"5","27000","151",,
128.641915013075,35.8747459939942,"1510009500","101","-","0",,dgsi,"5","27000","151",,
128.622990013415,35.8758719939361,"1510009700","101","-","0",,dgsi,"5","27000","151",,
128.626257013827,35.8591229932654,"1550004001","101",범어네거리,"1",,dgsi,"5","27000","155",,
128.633529013551,35.8672959930381,"1550016500","101","-","1",,dgsi,"5","27000","155",,
128.635654012753,35.8621749935505,"1550015300","101","-","0",,dgsi,"5","27000","155",,
128.639675013196,35.8625939938272,"1550015500","101",동원초교남편,"0",,dgsi,"5","27000","155",,
128.644140012733,35.8637229939927,"1550015700","101","-","0",,dgsi,"5","27000","155",,
128.646854013164,35.859928993366,"1550003901","101","-","0",,dgsi,"5","27000","155",,
128.64671101337,35.8642219942328,"1550015800","101","-","0",,dgsi,"5","27000","155",,
128.646093013756,35.8681669937265,"1550016600","101","-","0",,dgsi,"5","27000","155",,
128.644743012734,35.8708429945113,"1550016700","101","-","0",,dgsi,"5","27000","155",,
128.644643013512,35.8670379937198,"1550016300","101","-","0",,dgsi,"5","27000","155",,
128.642949012923,35.8662239931562,"1550016200","101","-","1",,dgsi,"5","27000","155",,
128.638957013496,35.8662229932208,"1550016100","101","-","1",,dgsi,"5","27000","155",,
128.635209013067,35.8720529938056,"1510008000","101",효신네거리,"1",,dgsi,"5","27000","151",,
128.639201013115,35.8731819941793,"1510008500","101","-","0",,dgsi,"5","27000","151",,
128.640421013602,35.8738789939088,"1510009000","101","-","0",,dgsi,"5","27000","151",,
128.639761013206,35.8772659934455,"1510010600","101","-","0",,dgsi,"5","27000","151",,
128.649482012884,35.8782889941019,"1550020800","101",망우당네거리,"1",,dgsi,"5","27000","151",,
128.636934012735,35.8861939939527,"1510003301","101","-","0",,dgsi,"5","27000","151",,
128.635378013497,35.8794179937386,"1510011400","104",동부지하차도,"0",,dgsi,"5","27000","151",,
128.63177901401,35.8778509936508,"1510011000","101",경북수협네거리,"1",,dgsi,"5","27000","151",,
128.628974013216,35.8772279937621,"1510010500","101","-","1",,dgsi,"5","27000","151",,
128.626093013062,35.876615993633,"1510009900","101",동대구역네거리,"1",,dgsi,"5","27000","151",,
128.629397013809,35.8681689944619,"1510006800","101","-","0",,dgsi,"5","27000","151",,
128.630639013171,35.8678369944059,"1510006600","101","-","0",,dgsi,"5","27000","151",,
128.626387013391,35.8684289933867,"1510007100","101","-","0",,dgsi,"5","27000","151",,
128.626848012684,35.8669549939706,"1510006000","101",MBC네거리,"1",,dgsi,"5","27000","151",,
128.624006012752,35.8672459938293,"1510006100","101","-","0",,dgsi,"5","27000","151",,
128.622981013602,35.8673809934245,"1510006400","101",청구삼거리,"0",,dgsi,"5","27000","151",,
128.618447013494,35.867805993709,"1510006500","101",청구네거리,"1",,dgsi,"5","27000","151",,
128.617602013027,35.8746549931771,"1510009300","101",신천네거리,"1",,dgsi,"5","27000","151",,
128.616129013906,35.8774149936697,"1510010800","101","-","1",,dgsi,"5","27000","151",,
128.638211013734,35.8588569934171,"1550003701","101","-","0",,dgsi,"5","27000","155",,
128.657321013794,35.8492949939951,"1550012400","101","-","0",,dgsi,"5","27000","155",,
128.638746013832,35.8537919943107,"1550013400","101","-","0",,dgsi,"5","27000","155",,
128.639011013008,35.8408959944837,"1550010000","101",황금아파트네거리,"0",,dgsi,"5","27000","155",,
128.630110013472,35.8393619936384,"1550009200","101",노인종합복지회관입구,"0",,dgsi,"5","27000","155",,
128.629302013096,35.8302169935712,"1550007600","101","-","0",,dgsi,"5","27000","155",,
128.636676013226,35.8263009942654,"1550006600","101","-","0",,dgsi,"5","27000","155",,
128.636093013624,35.823487994162,"1550005600","101",범어네거리서편,"1",,dgsi,"5","27000","155",,
128.63307701324,35.8246269932249,"1550005800","101",지산네거리,"1",,dgsi,"5","27000","155",,
128.625789013037,35.826711993869,"1550006700","101","-","1",,dgsi,"5","27000","155",,
128.63164301382,35.8214379937187,"1550005500","101","-","0",,dgsi,"5","27000","155",,
128.634699013791,35.8204819935837,"1550005300","101","-","0",,dgsi,"5","27000","155",,
128.6395530128,35.8211889942032,"1550005400","101",범물네거리,"0",,dgsi,"5","27000","155",,
128.643450013238,35.825236993523,"1550006400","101","-","1",,dgsi,"5","27000","155",,
128.692246013416,35.8429399936351,"1550002501","101",고산네거리,"0",,dgsi,"5","27000","155",,
128.700075013325,35.8447179942175,"1550011000","101","-","0",,dgsi,"5","27000","155",,
128.698615013443,35.8394359936605,"1550009300","101","-","0",,dgsi,"5","27000","155",,
128.698012013314,35.8367669938977,"1550008800","101","-","0",,dgsi,"5","27000","155",,
128.699946013197,35.8335929934536,"1550008100","101","-","0",,dgsi,"5","27000","155",,
128.699794013874,35.8312619930637,"1550000502","101","-","0",,dgsi,"5","27000","155",,
128.703191012797,35.8307709932371,"1550000501","101","-","1",,dgsi,"5","27000","155",,
128.706136012948,35.84378799363,"1550010700","101","-","0",,dgsi,"5","27000","155",,
128.713638013427,35.8374469931161,"1550001500","101","-","1",,dgsi,"5","27000","155",,
128.709099014209,35.8285249938886,"1550007100","101","-","0",,dgsi,"5","27000","155",,
128.70652401405,35.8295659933236,"1550000500","101","-","1",,dgsi,"5","27000","155",,
128.694481013042,35.8398439936967,"1550009500","101","-","0",,dgsi,"5","27000","155",,
128.707218013267,35.8085519937147,"1550005000","102","-","0",,dgsi,"5","27000","155",,
128.649295013882,35.8150079935115,"1550005100","102","-","0",,dgsi,"5","27000","155",,
128.644048013176,35.8273989933506,"1550006800","101",지산삼거리,"0",,dgsi,"5","27000","155",,
128.632650013073,35.8247819933854,"1550005900","101","-","0",,dgsi,"5","27000","155",,
128.459821013936,35.8803179935649,"1570012300","101","-","0",,dgsi,"5","27000","157",,
128.496946012963,35.8758189938319,"1570012000","101",서재보성아파트,"0",,dgsi,"5","27000","157",,
128.498917013802,35.876007993662,"1570012200","103","-","0",,dgsi,"5","27000","157",,
128.501434013461,35.8759209930657,"1570012100","103","-","0",,dgsi,"5","27000","157",,
