LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
"1530007100","1530002300","1530003600","0",1.00000000,"104",안지랑로,"0","000",60.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","153","000","-",,nodelinkmanager2017010410,,,500.55887016200
"1530007200","1530003600","1530002300","0",1.00000000,"104",안지랑로,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","153","000","-",,nodelinkmanager2017010410,,,500.55876067200
"1530011300","1530003500","1530003600","0",4.00000000,"104",대명로,"0","000",70.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","153","000","28",,nodelinkmanager2017010410,,,617.86464372100
"1560022600","1560009500","1560007800","0",2.00000000,"104",송현로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","37",,nodelinkmanager2017010410,,,677.28801730800
"1560022500","1560007800","1560009500","0",2.00000000,"104",송현로,"0","000",30.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","37",,nodelinkmanager2017010410,,,677.29341486000
"1560039900","1560012500","1560013000","0",3.00000000,"104",대명천로,"0","000",60.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","-",,nodelinkmanager2017010410,,,566.16602997600
"1560040000","1560013000","1560012500","0",3.00000000,"104",대명천로,"0","000",60.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","-",,nodelinkmanager2017010410,,,559.79200339400
"1560035000","1560012500","1560011100","0",1.00000000,"104",남중로,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","-",,nodelinkmanager2017010410,,,134.40278015600
"1560034900","1560011100","1560012500","0",1.00000000,"104",남중로,"0","000",40.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","-",,nodelinkmanager2017010410,,,134.40278306500
"1560040600","1560016500","1560012600","0",2.00000000,"104",당산로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","37",,nodelinkmanager2017010410,,,441.30010378600
"1560040500","1560012600","1560016500","0",2.00000000,"104",당산로,"0","000",50.00000000,"0",0.00000000,0.00000000,,nodelinkmanager,"5","50000","156","000","37",,nodelinkmanager2017010410,,,441.30020600900
